Name,Address,Postcode,City,Phone,Website
Ambulantes Zentrum Laufen,"Lochbruggstrasse 39, 4242 Laufen",4242,Laufen,tel:+41614008080,https://www.local.ch/en/d/laufen/4242/hospital/ambulantes-zentrum-laufen-2Kor_nY0mYiO2Gq6ZWO5JQ
Centre hospitalier Bienne,"Chante-Merle 84, 2502 Biel/Bienne",2502,Biel/Bienne,tel:+41323242424,https://www.local.ch/en/d/biel-bienne/2502/hospital/centre-hospitalier-bienne-v2IRb0bQiV7-r5oXepCw8A
Clinica Santa Chiara SA - Pronto Soccorso accessibile dalle ore 07:00 alle ore 22:00,"Via Stefano Franscini 4, 6600 Locarno",6600,Locarno,tel:+41917564111,https://www.local.ch/en/d/locarno/6600/clinic/clinica-santa-chiara-sa-pronto-soccorso-accessibile-dalle-ore-07-00-alle-ore-22-00-UbTvjMMz3s1X4KMJ0ma99w
Gesundheitzentrum Fricktal AG,"Roberstenstrasse 33, 4310 Rheinfelden",4310,Rheinfelden,tel:+41618350865,https://www.local.ch/en/d/rheinfelden/4310/clinic/gesundheitzentrum-fricktal-ag-kBBJAVv5ILpGv6GFiYDutg
Hôpital de La Tour,"Avenue Jacob-Daniel Maillard 3, 1217 Meyrin",1217,Meyrin,tel:+41227196111,https://www.local.ch/en/d/meyrin/1217/clinic/hopital-de-la-tour-mNzp_Gui1oNGUmyShp-pPQ
Kantonsspital Baselland Bruderholz,"Kantonsspital Bruderholz, 4101 Bruderholz",4101,Bruderholz,tel:+41614363636,https://www.local.ch/en/d/bruderholz/4101/hospital/kantonsspital-baselland-bruderholz-rpsJgzQnerhhPpYTvRyrVw
Kantonsspital Baselland Liestal,"Rheinstrasse 26, 4410 Liestal",4410,Liestal,tel:+41619252525,https://www.local.ch/en/d/liestal/4410/hospital/kantonsspital-baselland-liestal-lAGqVlMCSeL7uV0QLTUWhg
Spitalzentrum Biel AG,"Vogelsang 84, 2502 Biel/Bienne",2502,Biel/Bienne,tel:+41323242424,https://www.local.ch/en/d/biel-bienne/2502/hospital/spitalzentrum-biel-ag-p5viQb4RucPctoI2xhAVTg
Solothurner Spitäler AG,"Schöngrünstrasse 42, 4500 Solothurn",4500,Solothurn,tel:+41326273121,https://www.local.ch/en/d/solothurn/4500/hospital/solothurner-spitaeler-ag-TSliuzPLKh1ytqF5bSrGGg
Adipositas und StoffwechselZentrum Zürich,"Witellikerstrasse 36, 8008 Zürich",8008,Zürich,tel:+41443874000,https://www.local.ch/en/d/zuerich/8008/hospital/adipositas-und-stoffwechselzentrum-zuerich-uWsqvpPZo2mexFZYyAPSoA
Prof. Dr. med. Bachmann Alexander,"Marktplatz 5, 4001 Basel",4001,Basel,tel:+41612610555,https://www.local.ch/en/d/basel/4001/urology/prof-dr-med-bachmann-alexander-0-sB8fj3eFoZ40qp1u59vQ
Berner Klinik Montana - Clinique Bernoise Montana,"Impasse Palace Bellevue 1, 3963 Crans-Montana",3963,Crans-Montana,tel:+41274855288,https://www.local.ch/en/d/crans-montana/3963/clinic/berner-klinik-montana-clinique-bernoise-montana-Dnlweidl2rdUOJYjj9Y7BA
Centre dentaire d'altitude de Verbier,"Place Centrale, 1936 Verbier",1936,Verbier,tel:+41277712121,https://www.local.ch/en/d/verbier/1936/dentist/centre-dentaire-d-altitude-de-verbier-EZoQaDEDpS_XxnF0ABCXXQ
